date,pool_name,daily_apy,weekly_apy,monthly_apy,total_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-02-09,compound,0.01949924684280213,0.021275316425129143,0.025966862289509063,0.049960988023035835,0,cDAI,0.3509627233442623,cUSDC,7085237112.937268,,0,,0,7085237113.288231
2022-02-09,y,0.016159274808754454,0.016131071857218737,0.03427315985794577,0.06602883401383308,239642.79835187813,yDAI,1427364180.6724446,yUSDC,4963592.125762,yUSDT,4242323.009902,yTUSD,9287769.269776441,1445857865.077885
2022-02-09,busd,0.01577847390760012,0.016410514295063017,0.01824759217479488,0.06490603242660442,370.0123558127677,yDAI,893402105.4127074,yUSDC,3786012.470315,yUSDT,3290789.16614,yBUSD,5087952.019255906,905566859.0684183
2022-02-09,susd,0.004617772250197438,0.007826789695960512,0.012857944042629299,0.026628175292302547,5130812.338347182,DAI,37230482.75477975,USDC,37892122.469743,USDT,35630627.218028,SUSD,29492696.96418589,140245929.40673664
2022-02-09,pax,0.0023860485753322003,0.0019935956304550917,0.004041398077168301,0.021213981077295108,20338.206306138876,ycDAI,1197922.234067612,ycUSDC,1123072.572353,ycUSDT,1083258.372855,PAX,1305110.1243408944,4709363.303616507
2022-02-09,hbtc,1.2063238379322883e-05,0.0005398076543932095,0.00168223440425197,0.00522171386700232,1.1247342422586453,hBTC,163036557.3917128,wBTC,136142448.34638432,,0,,0,299179005.73809713
2022-02-09,3pool,0.0026690329248377775,0.002757209312482578,0.00399870320444462,0.014183857190386506,111472229.34159969,DAI,1587484159.1423337,USDC,1644005519.334147,USDT,824697398.268319,,0,4056187076.7447996
2022-02-09,gusd,0.01586571088917621,0.010492522294612394,0.009264725695718345,0.017282613218519982,4135836.265037669,GUSD,19270590.41,3CRV,17443283.487186816,,0,,0,36713873.897186816
2022-02-09,husd,0.05944553056729851,0.0134006431159992,0.00722809908066524,0.011429723982489426,352104.05966413056,HUSD,442839.9355585038,3CRV,644491.1327234247,,0,,0,1087331.0682819285
2022-02-09,usdn,0.11104767115420477,0.03924124712616606,0.024629569396267037,0.036950057663629465,3785567.1296259924,USDN,167670640.94337124,3CRV,89709092.97083047,,0,,0,257379733.9142017
2022-02-09,usdk,0.00833646526955989,0.0062248210934821024,0.007602318420745879,0.6262008203244724,0,USDK,423521.51230987255,3CRV,529790.6775043776,,0,,0,953312.1898142501
2022-02-09,linkusd,0.0014214931061811154,0.0014684115968683908,0.0021288666029943837,0.007762036140066542,0,LINKUSD,17274.6815044783,3CRV,19838.36044034502,,0,,0,37113.041944823315
2022-02-09,musd,0.001404609033439419,0.0017659220774717266,0.002856232779600898,0.011899034378950901,11088.898892908981,MUSD,35794479.55693967,3CRV,39197132.20876927,,0,,0,74991611.76570894
2022-02-09,rsv,0.0005904644153134075,0.0006099400078838357,0.0017472929007895655,0.021094278181206905,0,RSV,222896.9469433279,3CRV,62743.849666027774,,0,,0,285640.79660935566
2022-02-09,dusd,0.0006769916650155583,0.005311728825457829,0.0028565560984612492,0.010873497140022614,0,DUSD,1419054.0290111443,3CRV,379661.61291917606,,0,,0,1798715.6419303203
2022-02-09,bbtc,0.00012821184821665277,0.002318121922876948,0.002631716908046755,0.007477121171581391,0.01050951628372547,bBTC,48424582.77317628,sbtcCRV,943.9620695171706,,0,,0,48425526.7352458
2022-02-09,ust,0.01713217997495997,0.0388626389319946,0.10362836511932372,0.03834162711140321,5559899.892614605,UST,12142174.6921549,3CRV,13335147.688332379,,0,,0,25477322.380487278
2022-02-09,eurs,4.461636974206762e-05,0.0010484539078026156,0.001588927422152997,0.0027652403789284463,1934.2426688034002,EURS,15177688.810499998,sEUR,37607715.807372935,,0,,0,52785404.61787293
2022-02-09,seth,0.0013071022056836412,0.004225785685403993,0.010654179672904274,0.006241074535587643,687.6624691518582,ETH,78939976.05040053,sETH,43987952.523927815,,0,,0,122927928.57432833
2022-02-09,aave,0.021170851616304498,0.023034110068501867,0.02690862014134021,0.07373621724208745,374796.6888958433,aDAI,15957613.27879953,aUSDC,16429692.685353,aUSDT,10069873.416948,,0,42457179.38110053
2022-02-09,steth,0.023884571200972315,0.024164277079503416,0.025110265719764602,0.030674526693407422,1471.2729465123448,ETH,1922109390.378078,stETH,1977290217.0967612,,0,,0,3899399607.474839
2022-02-09,saave,0.014889495789120577,0.022278077392158036,0.031226845958300276,0.05488299234532845,0,aDAI,24409656.79835467,aSUSD,19907121.502522394,,0,,0,44316778.300877064
2022-02-09,link,2.712858937936602e-06,5.715848349918673e-05,0.0009475929922320159,0.0016058238928593482,0,LINK,11567152.018704321,sLINK,6025381.028611166,,0,,0,17592533.047315486
2022-02-09,usdp,0.003248153285134281,0.002393274467292983,0.0031409955396075606,0.007233691143079035,10157.918399109361,USDP,27104060.82697423,3CRV,32213897.782386504,,0,,0,59317958.60936074
2022-02-09,tusd,0.0012882821097235375,0.0015185241794390958,0.003261218790883369,0.005466936761622243,0,TUSD,45602088.354488224,3CRV,36586248.9834895,,0,,0,82188337.33797772
2022-02-09,frax,0.0018435471357802768,0.001683690773637947,0.0031855737707711107,0.007739067624039198,11688659.538917422,FRAX,1578990063.3101547,3CRV,1453677654.2983267,,0,,0,3032667717.6084814
2022-02-09,lusd,0.01508616676364083,0.010255252874458609,0.01960581304611364,0.013701818150939182,24690191.389550675,LUSD,1594779963.9432561,3CRV,1453677654.2983267,,0,,0,3048457618.241583
2022-02-09,mim,0.002614571871659699,0.006162357222362358,0.013980978824498669,0.0073673869074084575,15321816.99944386,MIM,972558444.6600873,3CRV,249988333.03171542,,0,,0,1222546777.6918027
